,casting_time,components,description,duration,evocation_level,range,spell_name
164, 1 minute," s, m (a lead based ink worth at least 10 gp, which thespell consumes)","you write on parchment, paper, or some other suitable writing materialand imbue it with a potent illusion that lasts for the duration.to you and any creatures you designate when you cast the spell, thewriting appears normal, written in your hand, and conveys whatevermeaning you intended when you wrote the text. to all others, the writingappears as if it were written in an unknown or magical script that isunintelligible. alternatively, you can cause the writing to appear to bean entirely different message, written in a different hand and language,though the language must be one you know.should the spell be dispelled, the original script and the illusion bothdisappear.a creature with truesight can read the hidden message.", 10 days,1stlevel illusion (ritual), touch,illusory script
165, 1 minute," v, s, m (a vellum depiction or a carved statuette in thelikeness of the target, and a special component that varies according tothe version of the spell you choose, worth at least 500 gp per hit dieof the target)","you create a magical restraint to hold a creature that you can seewithin range. the target must succeed on a wisdom saving throw or bebound by the spell; if it succeeds, it is immune to this spell if youcast it again. while affected by this spell, the creature doesn't needto breathe, eat, or drink, and it doesn't age. divination spells can'tlocate or perceive the target.when you cast the spell, you choose one of the following forms ofimprisonment.", until dispelled,9thlevel abjuration, 30 feet,imprisonment
166, 1 action," v, s","a swirling cloud of smoke shot through with white hot embers appears ina 20 foot radius ref`srdsphere` centered on a point within range. the cloudspreads around corners and is heavily obscured. it lasts for theduration or until a wind of moderate or greater speed (at least 10 milesper hour) disperses it.when the cloud appears, each creature in it must make a dexterity savingthrow. a creature takes 10d8 fire damage on a failed save, or half asmuch damage on a successful one. a creature must also make this savingthrow when it enters the spell's area for the first time on a turn orends its turn there.the cloud moves 10 feet directly away from you in a direction that youchoose at the start of each of your turns."," concentration, up to 1 minute",8thlevel conjuration, 150 feet,incendiary cloud
167, 1 action," v, s","make a melee spell attack against a creature you can reach. on a hit,the target takes 3d10 necrotic damage.", instantaneous,1stlevel necromancy, touch,inflict wounds
168, 1 action," v, s, m (a few grains of sugar, some kernels of grain,and a smear of fat)","swarming, biting locusts fill a 20 foot radius ref`srdsphere` centered on apoint you choose within range. the ref`srdsphere` spreads around corners. theref`srdsphere` remains for the duration, and its area is lightly obscured. thesphere's area is difficult terrain.when the area appears, each creature in it must make a constitutionsaving throw. a creature takes 4d10 piercing damage on a failed save, orhalf as much damage on a successful one. a creature must also make thissaving throw when it enters the spell's area for the first time on aturn or ends its turn there."," concentration, up to 10 minutes",5thlevel conjuration, 300 feet,insect plague
169, 1 minute," v, s, m (a sapphire worth 1,000 gp)","you touch an object weighing 10 pounds or less whose longest dimensionis 6 feet or less. the spell leaves an invisible mark on its surface andinvisibly inscribes the name of the item on the sapphire you use as thematerial component. each time you cast this spell, you must use adifferent sapphire.at any time thereafter, you can use your action to speak the item's nameand crush the sapphire. the item instantly appears in your handregardless of physical or planar distances, and the spell ends.if another creature is holding or carrying the item, crushing thesapphire doesn't transport the item to you, but instead you learn whothe creature possessing the object is and roughly where that creature islocated at that moment.dispel magic or a similar effect successfully applied to the sapphireends this spell's effect.", until dispelled,6thlevel conjuration (ritual), touch,instant summons
170, 1 action," v, s, m (an eyelash encased in gum arabic)",a creature you touch becomes ref`srdinvisible` until the spell ends. anythingthe target is wearing or carrying is invisible as long as it is on thetarget's person. the spell ends for a target that attacks or casts aspell.," concentration, up to 1 hour",2ndlevel illusion, touch,invisibility
171, 1 action, v,"choose one creature that you can see within range. the target begins acomic dance in place shuffling, tapping its feet, and capering for theduration. creatures that can't be ref`srdcharmed` are immune to this spell.a dancing creature must use all its movement to dance without leavingits space and has disadvantage on dexterity saving throws and attackrolls. while the target is affected by this spell, other creatures haveadvantage on attack rolls against it. as an action, a dancing creaturemakes a wisdom saving throw to regain control of itself. on a successfulsave, the spell ends."," concentration, up to 1 minute",6thlevel enchantment, 30 feet,irresistible dance
172, 1 action," v, s, m (a grasshopper's hind leg)",you touch a creature. the creature's jump distance is tripled until thespell ends., 1 minute,1stlevel transmutation, touch,jump
173, 1 action, v,"choose an object that you can see within range. the object can be adoor, a box, a chest, a set of manacles, a padlock, or another objectthat contains a mundane or magical means that prevents access.a target that is held shut by a mundane lock or that is stuck or barredbecomes unlocked, unstuck, or unbarred. if the object has multiplelocks, only one of them is unlocked.if you choose a target that is held shut with arcane lock, that spell issuppressed for 10 minutes, during which time the target can be openedand shut normally.when you cast the spell, a loud knock, audible from as far away as 300feet, emanates from the target object.", instantaneous,2ndlevel transmutation, 60 feet,knock
174, 10 minutes," v, s, m (incense worth at least 250 gp, which the spellconsumes, and four ivory strips worth at least 50 gp each)","name or describe a person, place, or object. the spell brings to yourmind a brief summary of the significant lore about the thing you named.the lore might consist of current tales, forgotten stories, or evensecret lore that has never been widely known. if the thing you namedisn't of legendary importance, you gain no information. the moreinformation you already have about the thing, the more precise anddetailed the information you receive is.the information you learn is accurate but might be couched in figurativelanguage. for example, if you have a mysterious magic axe on hand, thespell might yield this information ""woe to the evildoer whose handtouches the axe, for even the haft slices the hand of the evil ones.only a true child of stone, lover and beloved of moradin, may awaken thetrue powers of the axe, and only with the sacred word rudnogg on thelips.""", instantaneous,5thlevel divination, self,legend lore
175, 1 action," v, s","you touch a creature and can end either one disease or one conditionafflicting it. the condition can be ref`srdblinded`, ref`srddeafened`, ref`srdparalyzed`, orref`srdpoisoned`.", instantaneous,2ndlevel abjuration, touch,lesser restoration
176, 1 action," v, s, m (either a small leather loop or a piece ofgolden wire bent into a cup shape with a long shank on one end)","one creature or object of your choice that you can see within rangerises vertically, up to 20 feet, and remains suspended there for theduration. the spell can levitate a target that weighs up to 500 pounds.an unwilling creature that succeeds on a constitution saving throw isunaffected.the target can move only by pushing or pulling against a fixed object orsurface within reach (such as a wall or a ceiling), which allows it tomove as if it were climbing. you can change the target's altitude by upto 20 feet in either direction on your turn. if you are the target, youcan move up or down as part of your move. otherwise, you can use youraction to move the target, which must remain within the spell's range.when the spell ends, the target floats gently to the ground if it isstill aloft."," concentration, up to 10 minutes",2ndlevel transmutation, 60 feet,levitate
177, 1 action," v, m (a firefly or phosphorescent moss)","you touch one object that is no larger than 10 feet in any dimension.until the spell ends, the object sheds bright light in a 20 foot radiusand dim light for an additional 20 feet. the light can be colored as youlike. completely covering the object with something opaque blocks thelight. the spell ends if you cast it again or dismiss it as an action.if you target an object held or worn by a hostile creature, thatcreature must succeed on a dexterity saving throw to avoid the spell.", 1 hour,evocation cantrip, touch,light
178, 1 action," v, s, m (a bit of fur and a rod of amber, crystal, orglass)","a stroke of lightning forming a line 100 feet long and 5 feet wideblasts out from you in a direction you choose. each creature in the linemust make a dexterity saving throw. a creature takes 8d6 lightningdamage on a failed save, or half as much damage on a successful one.the lightning ignites flammable objects in the area that aren't beingworn or carried.", instantaneous,3rdlevel evocation, self (100 foot line),lightning bolt
179, 1 action," v, s, m (a bit of fur from a bloodhound)","describe or name a specific kind of beast or plant. concentrating on thevoice of nature in your surroundings, you learn the direction anddistance to the closest creature or plant of that kind within 5 miles,if any are present.", instantaneous,2ndlevel divination (ritual), self,ocate animals or plants
180, 1 action," v, s, m (a bit of fur from a bloodhound)","describe or name a creature that is familiar to you. you sense thedirection to the creature's location, as long as that creature is within1,000 feet of you. if the creature is moving, you know the direction ofits movement.the spell can locate a specific creature known to you, or the nearestcreature of a specific kind (such as a human or a unicorn), so long asyou have seen such a creature up closewithin 30 feetat least once. ifthe creature you described or named is in a different form, such asbeing under the effects of a polymorph spell, this spell doesn't locatethe creature.this spell can't locate a creature if running water at least 10 feetwide blocks a direct path between you and the creature."," concentration, up to 1 hour",4thlevel divination, self,locate creature
181, 1 action," v, s, m (a forked twig)","describe or name an object that is familiar to you. you sense thedirection to the object's location, as long as that object is within1,000 feet of you. if the object is in motion, you know the direction ofits movement.the spell can locate a specific object known to you, as long as you haveseen it up closewithin 30 feetat least once. alternatively, the spellcan locate the nearest object of a particular kind, such as a certainkind of apparel, jewelry, furniture, tool, or weapon.this spell can't locate an object if any thickness of lead, even a thinsheet, blocks a direct path between you and the object."," concentration, up to 10 minutes",2ndlevel divination, self,locate object
182, 1 action," v, s, m (a pinch of dirt)",you touch a creature. the target's speed increases by 10 feet until thespell ends., 1 hour,1stlevel transmutation, touch,longstrider
183, 1 action," v, s, m (a piece of cured leather)","you touch a willing creature who isn't wearing armor, and a protectivemagical force surrounds it until the spell ends. the target's base acbecomes 13 + its dexterity modifier. the spell ends if the target donsarmor or if you dismiss the spell as an action.", 8 hours,1stlevel abjuration, touch,mage armor
184, 1 action," v, s","a spectral, floating hand appears at a point you choose within range.the hand lasts for the duration or until you dismiss it as an action.the hand vanishes if it is ever more than 30 feet away from you or ifyou cast this spell again.you can use your action to control the hand. you can use the hand tomanipulate an object, open an unlocked door or container, stow orretrieve an item from an open container, or pour the contents out of avial. you can move the hand up to 30 feet each time you use it.the hand can't attack, activate magic items, or carry more than 10pounds.", 1 minute,conjuration cantrip, 30 feet,mage hand
185, 1 minute," v, s, m (holy water or powdered silver and iron worth atleast 100 gp, which the spell consumes)","you create a 10 foot radius, 20 foot tall ref`srdcylinder` of magical energycentered on a point on the ground that you can see within range. glowingrunes appear wherever the ref`srdcylinder` intersects with the floor or othersurface.choose one or more of the following types of creatures celestials,elementals, fey, fiends, or undead. the circle affects a creature of thechosen type in the following waysthe creature can't willingly enter the ref`srdcylinder` by nonmagical means. ifthe creature tries to use teleportation or interplanar travel to do so,it must first succeed on a charisma saving throw.the creature has disadvantage on attack rolls against targets within theref`srdcylinder`.targets within the ref`srdcylinder` can't be ref`srdcharmed`, ref`srdfrightened`, or possessedby the creature.when you cast this spell, you can elect to cause its magic to operate inthe reverse direction, preventing a creature of the specified type fromleaving the ref`srdcylinder` and protecting targets outside it.", 1 hour,3rdlevel abjuration, 10 feet,magic circle
186, 1 minute," v, s, m (a gem, crystal, reliquary, or some otherornamental container worth at least 500 gp)","your body falls into a catatonic state as your soul leaves it and entersthe container you used for the spell's material component. while yoursoul inhabits the container, you are aware of your surroundings as ifyou were in the container's space. you can't move or use reactions. theonly action you can take is to project your soul up to 100 feet out ofthe container, either returning to your living body (and ending thespell) or attempting to possess a humanoids body.you can attempt to possess any humanoid within 100 feet of you that youcan see (creatures warded by a protection from evil and good or magiccircle spell can't be possessed). the target must make a charisma savingthrow. on a failure, your soul moves into the target's body, and thetarget's soul becomes trapped in the container. on a success, the targetresists your efforts to possess it, and you can't attempt to possess itagain for 24 hours.once you possess a creature's body, you control it. your game statisticsare replaced by the statistics of the creature, though you retain youralignment and your intelligence, wisdom, and charisma scores. you retainthe benefit of your own class features. if the target has any classlevels, you can't use any of its class features.meanwhile, the possessed creature's soul can perceive from the containerusing its own senses, but it can't move or take actions at all.while possessing a body, you can use your action to return from the hostbody to the container if it is within 100 feet of you, returning thehost creature's soul to its body. if the host body dies while you're init, the creature dies, and you must make a charisma saving throw againstyour own spellcasting dc. on a success, you return to the container ifit is within 100 feet of you. otherwise, you die.if the container is destroyed or the spell ends, your soul immediatelyreturns to your body. if your body is more than 100 feet away from youor if your body is dead when you attempt to return to it, you die. ifanother creature's soul is in the container when it is destroyed, thecreature's soul returns to its body if the body is alive and within 100feet. otherwise, that creature dies.when the spell ends, the container is destroyed.", until dispelled,6thlevel necromancy, self,magic jar
187, 1 action," v, s","you create three glowing darts of magical force. each dart hits acreature of your choice that you can see within range. a dart deals 1d4+ 1 force damage to its target. the darts all strike simultaneously, andyou can direct them to hit one creature or several.", instantaneous,1stlevel evocation, 120 feet,magic missile
188, 1 minute," v, s, m (a small bit of honeycomb and jade dust worth atleast 10 gp, which the spell consumes)","you implant a message within an object in range, a message that isuttered when a trigger condition is met. choose an object that you cansee and that isn't being worn or carried by another creature. then speakthe message, which must be 25 words or less, though it can be deliveredover as long as 10 minutes. finally, determine the circumstance thatwill trigger the spell to deliver your message.when that circumstance occurs, a magical mouth appears on the object andrecites the message in your voice and at the same volume you spoke. ifthe object you chose has a mouth or something that looks like a mouth(for example, the mouth of a statue), the magical mouth appears there sothat the words appear to come from the object's mouth. when you castthis spell, you can have the spell end after it delivers its message, orit can remain and repeat its message whenever the trigger occurs.the triggering circumstance can be as general or as detailed as youlike, though it must be based on visual or audible conditions that occurwithin 30 feet of the object. for example, you could instruct the mouthto speak when any creature moves within 30 feet of the object or when asilver bell rings within 30 feet of it.", until dispelled,2ndlevel illusion (ritual), 30 feet,magic mouth
189, 1 bonus action," v, s","you touch a nonmagical weapon. until the spell ends, that weapon becomesa magic weapon with a +1 bonus to attack rolls and damage rolls."," concentration, up to 1 hour",2ndlevel transmutation, touch,magic weapon
190, 1 minute," v, s, m (a miniature portal carved from ivory, a smallpiece of polished marble, and a tiny silver spoon, each item worth atleast 5 gp)","you conjure an extradimensional dwelling in range that lasts for theduration. you choose where its one entrance is located. the entranceshimmers faintly and is 5 feet wide and 10 feet tall. you and anycreature you designate when you cast the spell can enter theextradimensional dwelling as long as the portal remains open. you canopen or close the portal if you are within 30 feet of it. while closed,the portal is invisible.beyond the portal is a magnificent foyer with numerous chambers beyond.the atmosphere is clean, fresh, and warm.you can create any floor plan you like, but the space can't exceed 50ref`cubes <srdcube>`, each ref`srdcube` being 10 feet on each side. the place is furnished anddecorated as you choose. it contains sufficient food to serve a ninecourse banquet for up to 100 people. a staff of 100 near transparentservants attends all who enter. you decide the visual appearance ofthese servants and their attire. they are completely obedient to yourorders. each servant can perform any task a normal human servant couldperform, but they can't attack or take any action that would directlyharm another creature. thus the servants can fetch things, clean, mend,fold clothes, light fires, serve food, pour wine, and so on. theservants can go anywhere in the mansion but can't leave it. furnishingsand other objects created by this spell dissipate into smoke if removedfrom the mansion. when the spell ends, any creatures inside theextradimensional space are expelled into the open spaces nearest to theentrance.", 24 hours,7thlevel conjuration, 300 feet,magnificent mansion
191, 1 action," v, s, m (a bit of fleece)","you create the image of an object, a creature, or some other visiblephenomenon that is no larger than a 20 foot ref`srdcube`. the image appears at aspot that you can see within range and lasts for the duration. it seemscompletely real, including sounds, smells, and temperature appropriateto the thing depicted. you can't create sufficient heat or cold to causedamage, a sound loud enough to deal thunder damage or deafen a creature,or a smell that might sicken a creature (like a troglodyte's stench).as long as you are within range of the illusion, you can use your actionto cause the image to move to any other spot within range. as the imagechanges location, you can alter its appearance so that its movementsappear natural for the image. for example, if you create an image of acreature and move it, you can alter the image so that it appears to bewalking. similarly, you can cause the illusion to make different soundsat different times, even making it carry on a conversation, for example.physical interaction with the image reveals it to be an illusion,because things can pass through it. a creature that uses its action toexamine the image can determine that it is an illusion with a successfulintelligence (investigation) check against your spell save dc. if acreature discerns the illusion for what it is, the creature can seethrough the image, and its other sensory qualities become faint to thecreature."," concentration, up to 10 minutes",3rdlevel illusion, 120 feet,major image
192, 1 action," v, s",a wave of healing energy washes out from a point of your choice withinrange. choose up to six creatures in a 30 foot radius ref`srdsphere` centered onthat point. each target regains hit points equal to 3d8 + yourspellcasting ability modifier. this spell has no effect on undead orconstructs., instantaneous,5thlevel evocation, 60 feet,ass cure wounds
193, 1 action," v, s","a flood of healing energy flows from you into injured creatures aroundyou. you restore up to 700 hit points, divided as you choose among anynumber of creatures that you can see within range. creatures healed bythis spell are also cured of all diseases and any effect making themref`srdblinded` or ref`srddeafened`. this spell has no effect on undead or constructs.", instantaneous,9thlevel evocation, 60 feet,mass heal
194, 1 bonus action ," instantaneousas you call out words of restoration, up to six creatures of your choicethat you can see within range regain hit points equal to 1d4 + yourspellcasting ability modifier. this spell has no effect on undead orconstructs.",,at higher levels.,3rdlevel evocation, 60 feet  v,ass healing word
195, 1 action," v, m (a snake's tongue and either a bit of honeycomb ora drop of sweet oil)","you suggest a course of activity (limited to a sentence or two) andmagically influence up to twelve creatures of your choice that you cansee within range and that can hear and understand you. creatures thatcan't be ref`srdcharmed` are immune to this effect. the suggestion must beworded in such a manner as to make the course of action soundreasonable. asking the creature to stab itself, throw itself onto aspear, immolate itself, or do some other obviously harmful actautomatically negates the effect of the spell.each target must make a wisdom saving throw. on a failed save, itpursues the course of action you described to the best of its ability.the suggested course of action can continue for the entire duration. ifthe suggested activity can be completed in a shorter time, the spellends when the subject finishes what it was asked to do.you can also specify conditions that will trigger a special activityduring the duration. for example, you might suggest that a group ofsoldiers give all their money to the first beggar they meet. if thecondition isn't met before the spell ends, the activity isn't performed.if you or any of your companions damage a creature affected by thisspell, the spell ends for that creature.", 24 hours,6thlevel enchantment, 60 feet,mass suggestion
196, 1 action," v, s","you banish a creature that you can see within range into a labyrinthinedemiplane. the target remains there for the duration or until it escapesthe maze.the target can use its action to attempt to escape. when it does so, itmakes a dc 20 intelligence check. if it succeeds, it escapes, and thespell ends (a minotaur or goristro demon automatically succeeds).when the spell ends, the target reappears in the space it left or, ifthat space is occupied, in the nearest unoccupied space."," concentration, up to 10 minutes",8thlevel conjuration, 60 feet,maze
197, 1 action," v, s","you step into a stone object or surface large enough to fully containyour body, melding yourself and all the equipment you carry with thestone for the duration. using your movement, you step into the stone ata point you can touch. nothing of your presence remains visible orotherwise detectable by nonmagical senses.while merged with the stone, you can't see what occurs outside it, andany wisdom (perception) checks you make to hear sounds outside it aremade with disadvantage. you remain aware of the passage of time and cancast spells on yourself while merged in the stone. you can use yourmovement to leave the stone where you entered it, which ends the spell.you otherwise can't move.minor physical damage to the stone doesn't harm you, but its partialdestruction or a change in its shape (to the extent that you no longerfit within it) expels you and deals 6d6 bludgeoning damage to you. thestone's complete destruction (or transmutation into a differentsubstance) expels you and deals 50 bludgeoning damage to you. ifexpelled, you fall ref`srdprone` in an unoccupied space closest to where youfirst entered.", 8 hours,3rdlevel transmutation (ritual), touch,eld into stone
198, 1 minute," v, s, m (two lodestones)","this spell repairs a single break or tear in an object you touch, suchas a broken chain link, two halves of a broken key, a torn cloak, or aleaking wineskin. as long as the break or tear is no larger than 1 footin any dimension, you mend it, leaving no trace of the former damage.this spell can physically repair a magic item or construct, but thespell can't restore magic to such an object.", instantaneous,transmutation cantrip, touch,mending
199, 1 action," v, s, m (a short piece of copper wire)","you point your finger toward a creature within range and whisper amessage. the target (and only the target) hears the message and canreply in a whisper that only you can hear.you can cast this spell through solid objects if you are familiar withthe target and know it is beyond the barrier. magical silence, 1 foot ofstone, 1 inch of common metal, a thin sheet of lead, or 3 feet of woodblocks the spell. the spell doesn't have to follow a straight line andcan travel freely around corners or through openings.", 1 round,transmutation cantrip, 120 feet,message
200, 1 action," v, s","blazing orbs of fire plummet to the ground at four different points youcan see within range. each creature in a 40 foot radius ref`srdsphere` centeredon each point you choose must make a dexterity saving throw. the ref`srdsphere`spreads around corners. a creature takes 20d6 fire damage and 20d6bludgeoning damage on a failed save, or half as much damage on asuccessful one. a creature in the area of more than one fiery burst isaffected only once.the spell damages objects in the area and ignites flammable objects thataren't being worn or carried.", instantaneous,9thlevel evocation, 1 mile,meteor swarm
201, 1 action," v, s","until the spell ends, one willing creature you touch is immune topsychic damage, any effect that would sense its emotions or read itsthoughts, divination spells, and the ref`srdcharmed` condition. the spell evenfoils wish spells and spells or effects of similar power used to affectthe target's mind or to gain information about the target.", 24 hours,8thlevel abjuration, touch,mind blank
202, 1 action," s, m (a bit of fleece)","you create a sound or an image of an object within range that lasts forthe duration. the illusion also ends if you dismiss it as an action orcast this spell again.if you create a sound, its volume can range from a whisper to a scream.it can be your voice, someone else's voice, a lion's roar, a beating ofdrums, or any other sound you choose. the sound continues unabatedthroughout the duration, or you can make discrete sounds at differenttimes before the spell ends.if you create an image of an objectsuch as a chair, muddy footprints,or a small chestit must be no larger than a 5 foot ref`srdcube`. the imagecan't create sound, light, smell, or any other sensory effect. physicalinteraction with the image reveals it to be an illusion, because thingscan pass through it.if a creature uses its action to examine the sound or image, thecreature can determine that it is an illusion with a successfulintelligence (investigation) check against your spell save dc. if acreature discerns the illusion for what it is, the illusion becomesfaint to the creature.", 1 minute,illusion cantrip, 30 feet,minor illusion
203, 10 minutes," v, s","you make terrain in an area up to 1 mile square look, sound, smell, andeven feel like some other sort of terrain. the terrain's general shaperemains the same, however. open fields or a road could be made toresemble a swamp, hill, crevasse, or some other difficult or impassableterrain. a pond can be made to seem like a grassy meadow, a precipicelike a gentle slope, or a rock strewn gully like a wide and smooth road.similarly, you can alter the appearance of structures, or add them wherenone are present. the spell doesn't disguise, conceal, or add creatures.the illusion includes audible, visual, tactile, and olfactory elements,so it can turn clear ground into difficult terrain (or vice versa) orotherwise impede movement through the area. any piece of the illusoryterrain (such as a rock or stick) that is removed from the spell's areadisappears immediately.creatures with truesight can see through the illusion to the terrain'strue form; however, all other elements of the illusion remain, so whilethe creature is aware of the illusion's presence, the creature can stillphysically interact with the illusion.", 10 days,7thlevel illusion, sight,mirage arcane
204, 1 action," v, s","three illusory duplicates of yourself appear in your space. until thespell ends, the duplicates move with you and mimic your actions,shifting position so it's impossible to track which image is real. youcan use your action to dismiss the illusory duplicates.each time a creature targets you with an attack during the spell'sduration, roll a d20 to determine whether the attack instead targets oneof your duplicates.if you have three duplicates, you must roll a 6 or higher to change theattack's target to a duplicate. with two duplicates, you must roll an 8or higher. with one duplicate, you must roll an 11 or higher.a duplicate's ac equals 10 + your dexterity modifier. if an attack hitsa duplicate, the duplicate is destroyed. a duplicate can be destroyedonly by an attack that hits it. it ignores all other damage and effects.the spell ends when all three duplicates are destroyed.a creature is unaffected by this spell if it can't see, if it relies onsenses other than sight, such as blindsight, or if it can perceiveillusions as false, as with truesight.", 1 minute,2ndlevel illusion, self,mirror image
205, 1 action, s,"you become ref`srdinvisible` at the same time that an illusory double of youappears where you are standing. the double lasts for the duration, butthe invisibility ends if you attack or cast a spell.you can use your action to move your illusory double up to twice yourspeed and make it gesture, speak, and behave in whatever way you choose.you can see through its eyes and hear through its ears as if you werelocated where it is. on each of your turns as a bonus action, you canswitch from using its senses to using your own, or back again. while youare using its senses, you are ref`srdblinded` and ref`srddeafened` in regard to your ownsurroundings."," concentration, up to 1 hour",5thlevel illusion, self,mislead
206, 1 bonus action, v,"briefly surrounded by silvery mist, you teleport up to 30 feet to anunoccupied space that you can see.", instantaneous,2ndlevel conjuration, self,misty step
207, 1 action," v, s","you attempt to reshape another creature's memories. one creature thatyou can see must make a wisdom saving throw. if you are fighting thecreature, it has advantage on the saving throw. on a failed save, thetarget becomes ref`srdcharmed` by you for the duration. the charmed target isref`srdincapacitated` and unaware of its surroundings, though it can still hearyou. if it takes any damage or is targeted by another spell, this spellends, and none of the target's memories are modified.while this charm lasts, you can affect the target's memory of an eventthat it experienced within the last 24 hours and that lasted no morethan 10 minutes. you can permanently eliminate all memory of the event,allow the target to recall the event with perfect clarity and exactingdetail, change its memory of the details of the event, or create amemory of some other event.you must speak to the target to describe how its memories are affected,and it must be able to understand your language for the modifiedmemories to take root. its mind fills in any gaps in the details of yourdescription. if the spell ends before you have finished describing themodified memories, the creature's memory isn't altered. otherwise, themodified memories take hold when the spell ends.a modified memory doesn't necessarily affect how a creature behaves,particularly if the memory contradicts the creature's naturalinclinations, alignment, or beliefs. an illogical modified memory, suchas implanting a memory of how much the creature enjoyed dousing itselfin acid, is dismissed, perhaps as a bad dream. the gm might deem amodified memory too nonsensical to affect a creature in a significantmanner.a remove curse or greater restoration spell cast on the target restoresthe creature's true memory."," concentration, up to 1 minute",5thlevel enchantment, 30 feet,modify memory
208, 1 action," v, s, m (several seeds of any moonseed plant and a pieceof opalescent feldspar)","a silvery beam of pale light shines down in a 5 foot radius, 40 foothigh ref`srdcylinder` centered on a point within range. until the spell ends,dim light fills the ref`srdcylinder`.when a creature enters the spell's area for the first time on a turn orstarts its turn there, it is engulfed in ghostly flames that causesearing pain, and it must make a constitution saving throw. it takes2d10 radiant damage on a failed save, or half as much damage on asuccessful one.a shapechanger makes its saving throw with disadvantage. if it fails, italso instantly reverts to its original form and can't assume a differentform until it leaves the spell's light.on each of your turns after you cast this spell, you can use an actionto move the beam 60 feet in any direction."," concentration, up to 1 minute",2ndlevel evocation, 120 feet,moonbeam
209, 1 action," v, s, m (an iron blade and a small bag containing amixture of soilsclay, loam, and sand)","choose an area of terrain no larger than 40 feet on a side within range.you can reshape dirt, sand, or clay in the area in any manner you choosefor the duration. you can raise or lower the area's elevation, create orfill in a trench, erect or flatten a wall, or form a pillar. the extentof any such changes can't exceed half the area's largest dimension. so,if you affect a 40 foot square, you can create a pillar up to 20 feethigh, raise or lower the square's elevation by up to 20 feet, dig atrench up to 20 feet deep, and so on. it takes 10 minutes for thesechanges to complete.at the end of every 10 minutes you spend concentrating on the spell, youcan choose a new area of terrain to affect.because the terrain's transformation occurs slowly, creatures in thearea can't usually be trapped or injured by the ground's movement.this spell can't manipulate natural stone or stone construction. rocksand structures shift to accommodate the new terrain. if the way youshape the terrain would make a structure unstable, it might collapse.similarly, this spell doesn't directly affect plant growth. the movedearth carries any plants along with it."," concentration, up to 2 hours",6thlevel transmutation, 120 feet,move earth
210, 1 action," v, s, m (a pinch of diamond dust worth 25 gp sprinkledover the target, which the spell consumes)","for the duration, you hide a target that you touch from divinationmagic. the target can be a willing creature or a place or an object nolarger than 10 feet in any dimension. the target can't be targeted byany divination magic or perceived through magical scrying sensors.", 8 hours,3rdlevel abjuration, touch,nondetection
211, 1 action," v, s, m (ashes from a burned leaf of mistletoe and asprig of spruce)","a veil of shadows and silence radiates from you, masking you and yourcompanions from detection. for the duration, each creature you choosewithin 30 feet of you (including you) has a +10 bonus to dexterity(stealth) checks and can't be tracked except by magical means. acreature that receives this bonus leaves behind no tracks or othertraces of its passage."," concentration, up to 1 hour",2ndlevel abjuration, self,ass without trace
212, 1 action," v, s, m (a pinch of sesame seeds)","a passage appears at a point of your choice that you can see on awooden, plaster, or stone surface (such as a wall, a ceiling, or afloor) within range, and lasts for the duration. you choose theopening's dimensions up to 5 feet wide, 8 feet tall, and 20 feet deep.the passage creates no instability in a structure surrounding it.when the opening disappears, any creatures or objects still in thepassage created by the spell are safely ejected to an unoccupied spacenearest to the surface on which you cast the spell.", 1 hour,5thlevel transmutation, 30 feet,passwall
213, 1 action," v, s","you tap into the nightmares of a creature you can see within range andcreate an illusory manifestation of its deepest fears, visible only tothat creature. the target must make a wisdom saving throw. on a failedsave, the target becomes ref`srdfrightened` for the duration. at the end of eachof the target's turns before the spell ends, the target must succeed ona wisdom saving throw or take 4d10 psychic damage. on a successful save,the spell ends."," concentration, up to 1 minute",4thlevel illusion, 120 feet,phantasmal killer
214, 1 minute," v, s","a large quasi real, horselike creature appears on the ground in anunoccupied space of your choice within range. you decide the creature'sappearance, but it is equipped with a saddle, bit, and bridle. any ofthe equipment created by the spell vanishes in a puff of smoke if it iscarried more than 10 feet away from the steed.for the duration, you or a creature you choose can ride the steed. thecreature uses the statistics for a riding horse, except it has a speedof 100 feet and can travel 10 miles in an hour, or 13 miles at a fastpace. when the spell ends, the steed gradually fades, giving the rider 1minute to dismount. the spell ends if you use an action to dismiss it orif the steed takes any damage.", 1 hour,3rdlevel illusion (ritual), 30 feet,phantom steed
